Project Title,Application ID,Project Start Date,Project End Date,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,Total Cost IC
Mechanistic Studies of Mediator and the p53 Tumor Suppressor,7499116,9/21/2007 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,227326, ,NCI, , ,227326
Transfected cell arrays for cancer research,7499610,9/24/2007 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,145665, ,NCI, , ,145665
Imaging Lung Cancer in Mice To Improve Radiation Therapy,7500118,8/3/2005 0:00,7/31/2010 0:00,Other Research-Related,2008,130329, ,NCI, , ,130329
Functional Characterization of WTX in Renal Development,7500170,9/30/2007 0:00,8/31/2012 0:00,Other Research-Related,2008,137160, ,NIDDK, , ,137160
Full Project 1: Tumor-targeted MR Contrast Enhancement Using Molecular Imaging Te,7500240, , ,Research Centers,2007, ,149910, , , , 
Use of Beta-Lapachone for Lung Cancer Chemotherapy,7500392,8/1/2003 0:00,6/30/2008 0:00,Non-SBIR/STTR,2007,78500, ,NCI, , ,78500
Zinc Finger Recombinases for Endogenous Genome Tailoring,7500623,9/1/2008 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,209700, ,NCI, , ,209700
Mitochondrial translocation of p53 and its interaction with manganese superoxide ,7501346,9/27/2007 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,73250, ,NCI, , ,73250
Quantitative Measurements and Modeling of the Mitotic Checkpoint,7501493,9/28/2007 0:00,8/31/2012 0:00,Non-SBIR/STTR,2008,350000, ,NIGMS, , ,350000
Impact of BRG1 Loss in Lung Cancer Development,7501507,9/27/2007 0:00,6/30/2009 0:00,Non-SBIR/STTR,2008,273980, ,NCI, , ,273980
Prostaglandin D and skin cancer prevention,7502019,9/24/2007 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,65651, ,NCI, , ,65651
Defining PAH-mediated carcinogenesis in lung: CYP metabolism and B[a]P transport,7502209,9/30/2007 0:00,9/29/2010 0:00,"Training, Individual",2008,49646, ,NIEHS, , ,49646
MOLECULAR BIOMARKERS FOR ENVIRONMENTAL TOXICANTS,7502308,6/1/1997 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,1856927, ,NIEHS, , ,1856927
Role of Bub1 in SV40 large T antigen mediated transformation and replication,7502382,9/10/2008 0:00,8/31/2012 0:00,Non-SBIR/STTR,2008,373497, ,NIAID, , ,373497
Mechanisms of Radioresistance and Cell Cycle Progression,7502577,9/28/2007 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,360812, ,NCI, , ,360812
Ultrasensitive Nanoscale Magnetic Sensors for Label-free Analysis of Cancer,7503218,9/24/2008 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,191066, ,NCI, , ,191066
Growth Inhibition by the ARF Tumor Suppressor,7503374,4/1/2002 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,265940, ,NCI, , ,265940
Sphingolipids in Cancer Biology and Therapy,7503605,8/1/2003 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008,1115156, ,NCI, , ,1115156
FAK Signals Controlling Endothelial Cell Survival and Motility,7504814,9/1/2008 0:00,8/31/2012 0:00,Non-SBIR/STTR,2008,483094, ,NHLBI, , ,483094
Targeting CDK5 in Pancreatic Cancer: Mechanistic and Preclinical Development,7506515,7/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,340300, ,NCI, , ,340300
P-4: Targeting activation of NFkB pathways in MM,7507317,7/1/2008 0:00,6/30/2013 0:00,Research Centers,2008, ,211553, , , , 
Regulation and Function of the p14ARF/topoisomerase I Complex in Cancer,7508133,7/10/2008 0:00,5/31/2009 0:00,Non-SBIR/STTR,2008,404625, ,NCI, , ,404625
MicroRNA Function in the Immune System,7508149,5/15/2008 0:00,4/30/2013 0:00,Non-SBIR/STTR,2008,401250, ,NIAID, , ,401250
P-1:  Intrinsic Apoptosis Phenotype and Susceptibility to Squamous Cell Carcinoma,7510668,8/1/2008 0:00,7/31/2013 0:00,Research Centers,2008, ,169505, , , , 
P2:  Cancer Risk Assessment in Patients with Oral Premalignant Lesions,7510672,8/1/2008 0:00,7/31/2013 0:00,Research Centers,2008, ,220258, , , , 
Project 4: NOX1 Involvement In Colon Cancer,7511070,7/1/2008 0:00,6/30/2013 0:00,Non-SBIR/STTR,2008, ,135673, , , , 
Molecular Pathology of t-AML,7512201,7/1/2008 0:00,6/30/2013 0:00,Non-SBIR/STTR,2008, ,424551, , , , 
The Role of Geminin in Hematopoiesis,7512718,9/19/2008 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,228750, ,NHLBI, , ,228750
A high resolution comparative analysis of early onset breast cancer by race,7512958,9/27/2007 0:00,9/26/2009 0:00,"Training, Individual",2008,30000, ,NCI, , ,30000
Role of p53 and the p53-inducible Sestrin1 and 2 genes in hepatocarcinogenesis,7513043,8/1/2008 0:00,6/30/2010 0:00,Other Research-Related,2008,78214, ,NIDDK, , ,78214
Role of PUMA in EGFR targeted therapy in HNSCC,7514220,8/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,314363, ,NCI, , ,314363
"Characterization of Mutagenesis, Mutational Spectra and Mechanisms of Toxicity",7514462,1/1/2009 0:00,12/31/2013 0:00,Non-SBIR/STTR,2009, ,359886, , , , 
Redox Regulation of Tumor Suppression by MnSOD,7514522,9/1/1998 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008,383990, ,NCI, , ,383990
Understanding the Roles of REGgamma in Anaplastic Thyroid Cancer Progression,7514779,9/3/2008 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,233704, ,NCI, , ,233704
p63/p73 Signaling Axis as a Target for Treatment of Triple-Negative Breast Cancer,7515256,9/11/2008 0:00,5/31/2013 0:00,Research Centers,2008, ,236780, , , , 
Mechanisms of transcriptional repression by p53 during hypoxic stress,7515446,12/1/2007 0:00,5/31/2010 0:00,"Training, Individual",2009,55310, ,NCI, , ,55310
RESEARCH PROJECT 1: Chemical and Viral Biomarkers of Exposure and Risk (Groopman),7515836,9/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008, ,409002, , , , 
High Throughput Screening,7516326,2/1/2007 0:00,1/31/2012 0:00,Research Centers,2007, ,128405, , , , 
Monitoring mechanisms in mammalian ribosome biogenesis,7516545,2/1/2005 0:00,1/31/2010 0:00,Non-SBIR/STTR,2007,132141, ,NIGMS, , ,132141
High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Pr,7522200,6/1/2008 0:00,5/31/2009 0:00,Non-SBIR/STTR,2008,25000, ,OD, , ,25000
Oligoclonal T Cell Expansion and Rheumatoid Arthritis,7523762,9/30/1993 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,341000, ,NIAMS, , ,341000
Biomarkers of survival in glioma epidemiology,7523958,7/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,416687, ,NCI, , ,416687
Role of EGFR in DNA Repair and Radiation Response in Non Small Cell Lung Cancer,7524320,7/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,260620, ,NCI, , ,260620
The role of beclin 1/class III PI-3 kinase and p53 in breast tumorigenesis,7524357,9/15/2008 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008,307100, ,NCI, , ,307100
INTEGRATION OF ONCOGENIC SIGNALS BY THE NUCLEOLAR ARF-NPM NETWORK,7524819,7/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,315400, ,NCI, , ,315400
Epithelial Stem Cell Programs,7525372,8/1/2008 0:00,5/31/2012 0:00,Non-SBIR/STTR,2008,380250, ,NIGMS, , ,380250
"UV-induced and NOS-mediated Zn elevation, translation regulation and apoptosis",7525846,9/1/2000 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008,209081, ,NCI, , ,209081
Correlative Studies for NCI Study #7977: Phase I trial of ABT-888 Plus Irinotecan,7525941,7/1/2008 0:00,6/30/2010 0:00,Non-SBIR/STTR,2008,350813, ,NCI, , ,350813
Androgen and Soluble Guanylyl Cyclase Signaling in Prostate Cancer,7526149,7/1/2008 0:00,5/31/2012 0:00,Non-SBIR/STTR,2008,187920, ,NCI, , ,187920
The role of p63 and p73 in cancer,7526775,1/14/2002 0:00,4/30/2013 0:00,Non-SBIR/STTR,2008,235373, ,NCI, , ,235373
Interaction Between SV40 Large T and P185 Cullin,7526929,7/1/2002 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,282001, ,NCI, , ,282001
"Spindle Assembly Checkpoint, Chromosomal Instability, and Cancer",7527089,9/1/2008 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,318513, ,NCI, , ,318513
Chemoresistance and Motility: Role of Mutant p53 and NF-kB2 in Cancer,7527760,9/1/2008 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,247478, ,NCI, , ,247478
Role of Proline in Redox Homeostasis and Apoptosis,7527949,8/1/2008 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,282829, ,NIGMS, , ,282829
The Role of Fbxw7 in genetic instability and cancer,7528085,9/1/2008 0:00,10/31/2008 0:00,Non-SBIR/STTR,2008,41452, ,NCI, , ,41452
Treatment of Melanoma with wild-type P53 and detectable S100B using pentamidine: ,7529101,7/1/2008 0:00,6/30/2010 0:00,Non-SBIR/STTR,2008,311250, ,NCI, , ,311250
The role of cyclin E deregulation in breast tumorigenesis,7529227,9/1/2008 0:00,8/31/2011 0:00,Other Research-Related,2008,153209, ,NCI, , ,153209
Mechanisms of IGF-1 mediated rescue of radiation-induced salivary gland dysfuncti,7530790,8/1/2008 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008,335683, ,NIDCR, , ,335683
FHIT Gene Therapy in Cancer Prevention and Treatment,7531058,12/1/2006 0:00,11/30/2009 0:00,Non-SBIR/STTR,2009,228000, ,NCI, , ,228000
Role of ATM in Cardiac Myocyte Loss and Myocardial Remodeling,7531442,8/1/2008 0:00,5/31/2010 0:00,Non-SBIR/STTR,2008,213000, ,NHLBI, , ,213000
Studying the control of Cytokinesis as an Evolved Complex System,7532221,8/1/1999 0:00,7/31/2012 0:00,Non-SBIR/STTR,2008,314519, ,NIGMS, , ,314519
"BRM promoter polymorphism, a marker for cancer risks",7532235,9/15/2008 0:00,6/30/2009 0:00,Non-SBIR/STTR,2008,77250, ,NCI, , ,77250
p53 Acetylation and Deacetylation in Tumorigenesis,7532350,4/1/2000 0:00,4/30/2013 0:00,Non-SBIR/STTR,2008,290920, ,NCI, , ,290920
Radiation-induced Nitric Oxide & Cellular Radiosensitivity,7533221,7/10/2002 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,273561, ,NCI, , ,273561
Regulation of p53 tumor suppressor protein,7533334,2/1/1993 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,516136, ,NCI, , ,516136
ROLE OF HISTONE H4 N-TERMINAL TAIL IN TRANSCRIPTION REGULATION,7533491,8/1/2008 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008,347461, ,NIGMS, , ,347461
Oxidative Injury to Gastric Epithelial Cells by H. pylori,7533775,9/21/2001 0:00,4/30/2012 0:00,Non-SBIR/STTR,2008,321938, ,NIDDK, , ,321938
Molecular Studies on MUC4 Mucin Gene,7533778,9/1/2008 0:00,6/30/2012 0:00,Non-SBIR/STTR,2008,224040, ,NCI, , ,224040
Genetic analysis of genomic instability and cancer in zebrafish,7533835,7/1/2008 0:00,5/31/2013 0:00,Non-SBIR/STTR,2008,309497, ,NCI, , ,309497
Studies on the Post-translational processing of MUC1,7533934,9/1/1992 0:00,4/30/2013 0:00,Non-SBIR/STTR,2008,263177, ,NCI, , ,263177
Role of Sphingosine Kinase in p53 Cancer Biology,7534138,8/1/2003 0:00,7/31/2013 0:00,Non-SBIR/STTR,2008, ,152945, , , , 
Mechanisms of cyclin E associated tumorigenesis,7534164,7/1/2003 0:00,6/30/2008 0:00,Other Research-Related,2007,100675, ,NCI, , ,100675
Inductible mouse models for oral cancer,7534328,1/13/2005 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,350204, ,NIDCR, , ,350204
Radioprotection by targeted siRNA delivery to salivary gland,7534718,8/1/2008 0:00,7/31/2010 0:00,Non-SBIR/STTR,2008,192500, ,NIDCR, , ,192500
Deciphering how MdmX deregulation impacts the p53 pathway,7534763,4/1/1995 0:00,11/30/2010 0:00,Non-SBIR/STTR,2009,215084, ,NCI, , ,215084
Role of an unusual GTPase in DNA damage response and carcinogenesis,7535027,12/1/2007 0:00,11/30/2012 0:00,Non-SBIR/STTR,2009,352219, ,NCI, , ,352219
MECHANISMS OF ESTROGEN RECEPTOR REGULATION,7535261,2/1/2006 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,231383, ,NCI, , ,231383
Targeting p53 for colon cancer treatment & prevention,7535437,9/1/2008 0:00,8/31/2010 0:00,Non-SBIR/STTR,2008,216892, ,NCI, , ,216892
Mammalian Polyamine Metabolism,7535608,12/1/1975 0:00,11/30/2010 0:00,Non-SBIR/STTR,2009,313665, ,NCI, , ,313665
Mechanisms of Progression in Oncogene-Incuded Prostate Cancer,7535750,9/8/1989 0:00,5/31/2012 0:00,Non-SBIR/STTR,2007,325941, ,NCI, , ,325941
Mouse Model of Pancreatic Tumorigenesis with Dysregulation of  mTOR,7535942,6/6/2008 0:00,5/31/2010 0:00,Non-SBIR/STTR,2008,77000, ,NCI, , ,77000
"Telomerase in Development, Senescence and Neoplasia",7536022,1/1/2000 0:00,12/31/2009 0:00,Non-SBIR/STTR,2009,595470, ,NCI, , ,595470
Novel Treatment of NF-1 Associated Malignant Peripheral Nerve Sheath Tumors,7537237,12/7/2007 0:00,11/30/2012 0:00,Non-SBIR/STTR,2009,300875, ,NCI, , ,300875
Interactions and Functions of p14ARF in Cancer,7538353,1/1/2005 0:00,3/10/2009 0:00,Non-SBIR/STTR,2009,83239, ,NCI, , ,83239
Oncogenic Gene Regulatory Networks,7539157,2/1/2005 0:00,12/31/2009 0:00,Non-SBIR/STTR,2009,284064, ,NCI, , ,284064
Mechanisms of Cell Cycle Associated Neoplasia,7539932,2/16/2000 0:00,8/31/2010 0:00,Non-SBIR/STTR,2009,348574, ,NCI, , ,348574
Rapid release paclitaxel nanoparticles for bladder cancer intravestical therapy,7539992,8/1/2004 0:00,8/31/2010 0:00,SBIR/STTR,2008,730684, ,NCI, , ,730684
The Role of Non-C anonical Bax/Bak Direct Activators in Hematological Cancers,7540006,8/25/2008 0:00,8/24/2011 0:00,"Training, Individual",2008,49646, ,NCI, , ,49646
Modulators of p53 Expression and Function,7540786,9/1/1997 0:00,6/30/2009 0:00,Non-SBIR/STTR,2007,343545, ,NCI, , ,343545
p53 Signaling and Cellular Response After Stress,7541004,1/1/1997 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,330828, ,NCI, , ,330828
Glucose Metabolism and p53 in Leukemia,7541047,8/20/2008 0:00,8/19/2011 0:00,"Training, Individual",2008,29636, ,NHLBI, , ,29636
Multi-institutional trial: molecular analysis of margins,7541359,2/1/2005 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,214028, ,NCI, , ,214028
MDM2 regulates XIAP gene expression in cancer treatment,7541424,12/15/2007 0:00,11/30/2012 0:00,Non-SBIR/STTR,2009,257300, ,NCI, , ,257300
Small RNA targeted gene activation for the treatment of prostate cancer,7541428,1/1/2008 0:00,6/30/2010 0:00,Non-SBIR/STTR,2009,173813, ,NCI, , ,173813
Nanoscale Functional Dendrimer-DNA Assemblies,7541466,12/4/2006 0:00,11/30/2010 0:00,Non-SBIR/STTR,2009,162500, ,NCI, , ,162500
The Molecular Epidemiology of Bladder Cancer,7541681,5/1/2007 0:00,2/28/2012 0:00,Non-SBIR/STTR,2007,428943, ,NCI, , ,428943
Role of PP2A in Lung Cancer,7541803,1/1/2008 0:00,12/31/2011 0:00,Non-SBIR/STTR,2009,320588, ,NCI, , ,320588
Development of MDMX Inhibitors for Retinoblastoma,7544296,8/1/2008 0:00,5/15/2009 0:00,"Training, Individual",2008,40850, ,NCI, , ,40850
Identification of Genes Required for Cellular Senescence,7544312,12/1/2008 0:00,11/30/2010 0:00,"Training, Individual",2008,46826, ,NCI, , ,46826
The Pathogenesis of Dyskeratosis Congenita,7544510,2/8/2005 0:00,8/17/2010 0:00,Non-SBIR/STTR,2009,286517, ,NCI, , ,286517
Prolactin as a risk biomarker of ovarian cancer,7544632,8/8/2008 0:00,7/31/2010 0:00,Non-SBIR/STTR,2008,75750, ,NCI, , ,75750
Host Immunity to EBV Infection in Vitro and in VIvo,7544933,9/1/1981 0:00,1/31/2013 0:00,Non-SBIR/STTR,2009,411979, ,NIAID, , ,411979
Defining the Contributions of Pancreatic Ductal and Acinar Cells to Tumorigenesis,7545709,7/3/2008 0:00,7/2/2010 0:00,"Training, Individual",2008,51278, ,NCI, , ,51278
Alternate Pathways for Interferon and Cytokine Signaling,7546130, , ,Non-SBIR/STTR,2007, ,402511, , , , 
FoxM1 and Oncogenic Pathways in Hepatocellular Carcinoma,7546376,1/1/2009 0:00,12/31/2011 0:00,"Training, Individual",2008,45972, ,NCI, , ,45972
Klf4 in tumor initiation and maintenance of squamous cell carcinoma,7546582,3/1/2007 0:00,12/31/2011 0:00,Non-SBIR/STTR,2009,278350, ,NCI, , ,278350
Cell fate decision in response to p53-dependent DNA damage/genotoxic stress,7546594,7/1/2001 0:00,12/31/2011 0:00,Non-SBIR/STTR,2009,273221, ,NCI, , ,273221
Apoptosis by FADD in normal and cancerous cells,7546653,2/22/2005 0:00,3/31/2010 0:00,Non-SBIR/STTR,2009,288389, ,NCI, , ,288389
MDM2 AS A NEGATIVE REGULATOR OF P21 WAF1/CIP1,7546657,1/1/2005 0:00,7/31/2010 0:00,Non-SBIR/STTR,2009,145536, ,NCI, , ,145536
Enhancing Activity of Alkylating Agents in Neuroblastoma,7546971,9/1/1999 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,231069, ,NCI, , ,231069
TGF-beta signaling and colon cancer,7547050,1/1/2007 0:00,12/31/2011 0:00,Non-SBIR/STTR,2009,324058, ,NCI, , ,324058
Discovering TREX1 and TREX2 Function in Mammalian Cells and Mice,7548181,4/1/2007 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,277400, ,NCI, , ,277400
Active Immune Therapy ot Leukemia Associated Antigens and Gene Therapy,7550204, , ,Non-SBIR/STTR,2007, ,276593, , , , 
Signal Transduction and Kinase Inhibition in CLL,7550207, , ,Non-SBIR/STTR,2007, ,286908, , , , 
Integration of Ocogenic Networks in Cancer Phenotypes,7550558, , ,Research Centers,2007, ,2106993, , , , 
CELL CYCLE TRANSCRIPTION REGULATION IN MEDULLOBLASTOMAS,7553659, , ,Non-SBIR/STTR,2004, ,256055, , , , 
TUMOR SUPPRESSOR RB FAMILY/PRB2 IN MEDULLOBLASTOMA,7553660, , ,Non-SBIR/STTR,2004, ,256053, , , , 
CELL CYCLE TRANSCRIPTION REGULATION IN MEDULLOBLASTOMAS,7553664, , ,Non-SBIR/STTR,2005, ,255813, , , , 
TUMOR SUPPRESSOR RB FAMILY/PRB2 IN MEDULLOBLASTOMA,7553665, , ,Non-SBIR/STTR,2005, ,255913, , , , 
CELL CYCLE TRANSCRIPTION REGULATION IN MEDULLOBLASTOMAS,7553669, , ,Non-SBIR/STTR,2006, ,255813, , , , 
TUMOR SUPPRESSOR RB FAMILY/PRB2 IN MEDULLOBLASTOMA,7553670, , ,Non-SBIR/STTR,2006, ,255913, , , , 
CELL CYCLE TRANSCRIPTION REGULATION IN MEDULLOBLASTOMAS,7553674, , ,Non-SBIR/STTR,2007, ,181837, , , , 
TUMOR SUPPRESSOR RB FAMILY/PRB2 IN MEDULLOBLASTOMA,7553675, , ,Non-SBIR/STTR,2007, ,181943, , , , 
Modulation of a novel cell cycle checkpoint by the HPV oncogene E6,7554131,1/15/2008 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,203125, ,NIAID, , ,203125
Bim regulation by HHV-8 vIRF-1,7554328,8/5/2008 0:00,7/31/2010 0:00,Non-SBIR/STTR,2008,184500, ,NCI, , ,184500
Growth Control and Anti-Cancer Mechanisms,7554656,4/1/2007 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,295450, ,NCI, , ,295450
A novel regulator of p53,7554732,8/15/2002 0:00,7/31/2012 0:00,Non-SBIR/STTR,2007,201390, ,NCI, , ,201390
Rac GTPases as Targets in Lymphomagenesis,7555041,2/10/2007 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,285000, ,NCI, , ,285000
Research Career Development in HIV-Related Anal Dysplasia/Carcinoma Prevention an,7555115,9/15/2008 0:00,8/31/2013 0:00,Other Research-Related,2008,113586, ,NIAID, , ,113586
Cooperation of oncogenic mutations in the control of malignancy,7555355,4/1/2007 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,292600, ,NCI, , ,292600
The Role of NF-kappaB in Chemotherapy Resistance,7555380,1/1/2005 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,340162, ,NCI, , ,340162
Triple threat screening for modifiers of Protein Ser/Thr Phosphatase 2C,7555514,6/15/2008 0:00,5/31/2010 0:00,Non-SBIR/STTR,2008,151500, ,OD, , ,151500
Study of a FACTp140-SSRP1-associated p53 Kinase,7555535,1/10/2002 0:00,12/31/2008 0:00,Non-SBIR/STTR,2006,7550, ,NCI, , ,7550
NF Center: From Animal Models to Therapeutics,7557440, , ,Research Centers,2007, ,217573, , , , 
Nuclear Accumulation of Cyclin D1 and Oncogenesis,7558265,7/1/2001 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,291081, ,NCI, , ,291081
FDH: A Novel Determinant of Tumor Suppression,7558315,3/1/2005 0:00,1/31/2010 0:00,Non-SBIR/STTR,2009,246068, ,NCI, , ,246068
The role of glutathione peroxidase in the pathogenesis of intestinal cancer,7559559,3/1/2006 0:00,1/31/2011 0:00,Non-SBIR/STTR,2009,262148, ,NCI, , ,262148
Modulation of DNA methylation status by dietary zinc: role in cancer prevention,7559577,1/25/2008 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,156431, ,NCI, , ,156431
Genetic modifiers of mammary tumor susceptibility,7559622,2/15/2005 0:00,12/31/2010 0:00,Non-SBIR/STTR,2009,286406, ,NCI, , ,286406
Prevention of Oral Cancer by Tea: A mechanism Study,7559962,3/16/2006 0:00,1/31/2011 0:00,Non-SBIR/STTR,2009,284153, ,NCI, , ,284153
Transcriptional Activator/Coactivator Interactions,7560419,4/1/2007 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,326088, ,NCI, , ,326088
Genetic Pathways Governing Pancreatic Ductal Adenocarcinoma,7560581, , ,Non-SBIR/STTR,2007, ,212639, , , , 
The RAS and P13K Pathways in Pancreatic Adenocarcinoma,7560582, , ,Non-SBIR/STTR,2007, ,366179, , , , 
Mechanisms & Therapeutic Targeting of the Microenvironment in Pancreatic Cancer,7560583, , ,Non-SBIR/STTR,2007, ,290661, , , , 
Experimental Pathology Core,7560586, , ,Non-SBIR/STTR,2007, ,172426, , , , 
MBRA SUBRPOJECT 2:THE ROLE OF GENE EXPRESSION IN BREAST CANCER PREVENTION,7561446,6/1/2007 0:00,5/31/2008 0:00,Research Centers,2007, ,36074, , , , 
ASSESSMENT OF ANTICANCER PROPERTIES/ACTIVITIES OF PURIFIED EXTRACTS OF VERONIA A,7561481,6/1/2007 0:00,5/31/2008 0:00,Research Centers,2007, ,93673, , , , 
THE STUDY AND CHARACTERIZATION OF XENOESTROGEN EFFECTS,7561482,6/1/2007 0:00,5/31/2008 0:00,Research Centers,2007, ,124898, , , , 
ID PROTEIN FAMILY EXPRESSION AND FUNCTION IN PROSTATE CANCER,7561510,6/1/2007 0:00,5/31/2008 0:00,Research Centers,2007, ,87411, , , , 
"Characterization of Mutational Spectra, Mechanisms of Toxicity and Homologous Rec",7561695, , ,Non-SBIR/STTR,2008, ,557446, , , , 
Aflatoxin Biosynthesis and Iterative Type I Polyketide Synthases,7561699,2/1/1978 0:00,3/31/2013 0:00,Non-SBIR/STTR,2009,419154, ,NIEHS, , ,419154
Stress- and Promoter-Specific Mechanisms of Transcritpional Activation by p53,7561755,5/26/2006 0:00,1/31/2011 0:00,Non-SBIR/STTR,2009,205444, ,NCI, , ,205444
DOWNREGULATION OF P53 PROTEIN BY KSHV VIRF1,7562089,5/1/2007 0:00,4/30/2008 0:00,Research Centers,2007, ,58033, , , , 
"Obesity, H pylori and Risk of Barrett's Esophagus",7564034,4/1/2007 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,564445, ,NCI, , ,564445
Prostate cancer chemoprevention by penta-galloyl-glucose,7564247,1/1/2009 0:00,11/30/2013 0:00,Non-SBIR/STTR,2009,316438, ,NCI, , ,316438
Regulation and Function of C/EBP in UVB Responses,7564694,1/3/2005 0:00,12/31/2011 0:00,Non-SBIR/STTR,2009,298269, ,NIEHS, , ,298269
Mechanisms of Neuroprotection by Histone Deacetylase Inhibition,7564727,3/1/2008 0:00,2/28/2013 0:00,Non-SBIR/STTR,2009,341250, ,NINDS, , ,341250
Regulation WRN deacetylation by SIRT1 after DNA damage,7564746,2/15/2008 0:00,1/31/2013 0:00,Non-SBIR/STTR,2009,257262, ,NIA, , ,257262
Molecular mechanisms in the regulation of p53 functions by PAD4,7566649,2/1/2009 0:00,12/31/2013 0:00,Non-SBIR/STTR,2009,269143, ,NCI, , ,269143
Checkpoint Response and Platinum Drug Sensitivity,7567551,5/1/2007 0:00,2/29/2012 0:00,Non-SBIR/STTR,2009,263340, ,NCI, , ,263340
Defining critical p53 therapeutic targets and mechanisms,7567632,3/1/2009 0:00,1/31/2014 0:00,Non-SBIR/STTR,2009,393005, ,NCI, , ,393005
Sphingosine Phosphate:Regulation and Role in Cancer,7568216,9/1/1998 0:00,2/28/2011 0:00,Non-SBIR/STTR,2009,322582, ,NCI, , ,322582
Southwest Oncology Group,7568723,2/1/1993 0:00,12/31/2009 0:00,Other Research-Related,2009,262855, ,NCI, , ,262855
P53-Mediated G1/M Checkpoint Controls Altered by PPM1D,7568858,1/1/1999 0:00,2/28/2011 0:00,Non-SBIR/STTR,2009,238892, ,NCI, , ,238892
Dynamics of Signaling Pathways: Mechanism and Function,7568985,3/1/2008 0:00,1/31/2013 0:00,Non-SBIR/STTR,2009,321733, ,NIGMS, , ,321733
Pathways of Therapy-induced Senescence in Cancer,7568990,3/17/2006 0:00,1/31/2011 0:00,Non-SBIR/STTR,2009,235952, ,NCI, , ,235952
The Role of PTEN in Endothelial Biology,7569421,2/15/2008 0:00,1/31/2012 0:00,Non-SBIR/STTR,2009,390000, ,NHLBI, , ,390000
SUMO conjugation in cell biology and Development,7569505,9/15/2001 0:00,11/30/2010 0:00,Non-SBIR/STTR,2009,238941, ,NIGMS, , ,238941
Biomarkers in Head and Neck Cancer Progression,7570766,4/17/2009 0:00,3/31/2014 0:00,Other Research-Related,2009,94454, ,NIDCR, , ,94454
Biomimetic Synthesis of Complex Natural Products,7571635,2/1/2006 0:00,4/14/2010 0:00,Non-SBIR/STTR,2009,297951, ,NIGMS, , ,297951
Identifying Events and Genetic Regulators of Melanoma Progression,7571782,1/10/2009 0:00,12/31/2009 0:00,Other Research-Related,2009,91800, ,NIAMS, , ,91800
Regulatory Mechanisms of DEAF-1 in Development,7573426,8/15/2009 0:00,7/31/2013 0:00,Non-SBIR/STTR,2009,218250, ,NICHD, , ,218250
Recognition and Presentation of Alpha Helices using Nanoparticle Receptors,7574390,3/8/2007 0:00,2/28/2011 0:00,Non-SBIR/STTR,2009,260964, ,NIGMS, , ,260964
Molecular Markers as Predictors of Outcome in Gliomas,7574534,9/1/1998 0:00,2/14/2011 0:00,Non-SBIR/STTR,2009,291993, ,NINDS, , ,291993
